Release Date,Character,Rarity,Constellation Description,Word Count
2022-08-24,Collei,4star,"When in the party and not on the field, Collei's Energy Recharge is increased by 20%. The Passive Talent Floral Sidewinder is changed to this: The Floral Ring will grant the character the Sprout effect from Floral Sidewinder upon return, dealing 40% of Collei's ATK as Dendro DMG to nearby opponents for 3s. From the moment of using Floral Brush to the moment when this instance of Sprout effect ends, if any of your party members triggers Burning, Quicken, Aggravate, Spread, Bloom, Hyperbloom, or Burgeon reactions, the Sprout effect will be extended by 3s. The Sprout effect can only be extended this way once. If another Sprout effect is triggered during its initial duration, the initial effect will be removed. Requires you to have unlocked the Floral Sidewinder Passive Talent. Increases the Level of Floral Brush by 3. Maximum upgrade level is 15. Using Trump-Card Kitty will increase all nearby characters' Elemental Mastery by 60 for 12s (not including Collei herself). Increase the Level of Trump-Card Kitty by 3. Maximum upgrade level is 15. When the Floral Ring hits, it will create a miniature Cuilein-Anbar that will deal 200% of Collei's ATK as Dendro DMG. Each Floral Brush can only create one such miniature Cuilein-Anbar.",205
2022-09-28,Cyno,5star,"After using Sacred Rite: Wolf's Swiftness, Cyno's Normal Attack SPD will be increased by 20% for 10s. If the Judication effect of his Passive Talent Featherfall Judgment is triggered during Secret Rite: Chasmic Soulfarer, the duration of this increase will be refreshed. You need to unlock the Passive Talent ""Featherfall Judgement."" When Cyno's Normal Attacks hit opponents, his Electro DMG Bonus will increase by 10% for 4s. This effect can be triggered once every 0.1s. Max 5 stacks. Increases the Level of Sacred Rite: Wolf's Swiftness by 3. Maximum upgrade level is 15. When Cyno is in the Pactsworn Pathclearer state triggered by Sacred Rite: Wolf's Swiftness, after he triggers Electro-Charged, Superconduct, Overloaded, Quicken, Aggravate, Hyperbloom, or an Electro Swirl reaction, he will restore 3 Elemental Energy for all nearby party members (except himself.) This effect can occur 5 times within one use of Sacred Rite: Wolf’s Swiftness. Increase the Level of Secret Rite: Chasmic Soulfarer by 3. Maximum upgrade level is 15. After using Sacred Rite: Wolf's Swiftness or triggering the Judication effect of the Passive Talent ""Featherfall Judgment,"" Cyno will gain 4 stacks of the ""Day of the Jackal"" effect. When he hits opponents with Normal Attacks, he will consume 1 stack of ""Day of the Jackal"" to fire off one Duststalker Bolt. ""Day of the Jackal"" lasts for 8s. Max 8 stacks. It will be canceled once Pactsworn Pathclearer ends. A maximum of 1 Duststalker Bolt can be unleashed this way every 0.4s. You must first unlock the Passive Talent ""Featherfall Judgment.""",255
2023-03-01,Dehya,5star,"Dehya's Max HP is increased by 20%, and she deals bonus DMG based on her Max HP when using the following attacks: Molten Inferno's DMG will be increased by 3.6% of her Max HP. Leonine Bite's DMG will be increased by 6% of her Max HP. When Dehya uses Molten Inferno: Ranging Flame, the duration of the recreated Fiery Sanctum field will be increased by 4s. Additionally, when a Fiery Sanctum exists on the field, DMG dealt by its next coordinated attack will be increased by 50% when active character(s) within the Fiery Sanctum field are attacked. Increases the Level of Leonine Bite by 3. Maximum upgrade level is 15. When Flame-Mane's Fist and Incineration Drive attacks unleashed during Leonine Bite hit opponents, they will restore 1.5 Energy for Dehya and 2.5% of her Max HP. This effect can be triggered once every 0.2s. Increases the Level of Molten Inferno by 3. Maximum upgrade level is 15. The CRIT Rate of Leonine Bite is increased by 10%. Additionally, after a Flame-Mane's Fist attack hits an opponent and deals CRIT Hits during a single Blazing Lioness state, it will cause the CRIT DMG of Leonine Bite to increase by 15% for the rest of Blazing Lioness's duration and extend that duration by 0.5s. This effect can be triggered every 0.2s. The duration can be extended for a maximum of 2s and CRIT DMG can be increased by a maximum of 60% this way.",242
2020-11-11,Diona,4star,"Regenerates 15 Energy for Diona after the effects of Signature Mix end. Increases Icy Paws' DMG by 15%, and increases its shield's DMG Absorption by 15%. Additionally, when paws hit their targets, creates a shield for other nearby characters on the field with 50% of the Icy Paws shield's DMG Absorption for 5s. Increases the Level of Signature Mix by 3. Maximum upgrade level is 15. Within the radius of Signature Mix, Diona's charge time for aimed shots is reduced by 60%. Increases the level of Icy Paws by 3. Maximum upgrade level is 15. Characters within Signature Mix's radius will gain the following effects based on their HP amounts: Increasing Incoming Healing Bonus by 30% when HP falls below or is equal to 50%. Elemental Mastery is increased by 200 when HP is above 50%.",136
2022-09-09,Dori,4star,"The number of After-Sales Service Rounds created by Troubleshooter Shots is increased by 1. When you are in combat and the Jinni heals the character it is connected to, it will fire a Jinni Toop from that character's position that deals 50% of Dori's ATK DMG. Increases the Level of Alcazarzaray's Exactitude by 3. Maximum upgrade level is 15. The character connected to the Jinni will obtain the following buffs based on their current HP and Energy: When their HP is lower than 50%, they gain 50% Incoming Healing Bonus. When their Energy is less than 50%, they gain 30% Energy Recharge. Increases the level of Spirit-Warding Lamp: Troubleshooter Cannon by 3. Maximum upgrade level is 15. Dori gains the following effects for 3s after using Spirit-Warding Lamp: Troubleshooter Cannon: Electro Infusion. When Normal Attacks hit opponents, all nearby party members will heal HP equivalent to 4% of Dori's Max HP. This type of healing can occur once every 0.1s.",160
2021-05-18,Eula,5star,"Every time Icetide Vortex's Grimheart stacks are consumed, Eula's Physical DMG is increased by 30% for 6s. Each stack consumed will increase the duration of this effect by 6s up to a maximum of 18s. Decreases the CD of Icetide Vortex's Holding Mode, rendering it identical to Tapping CD. Increases the Level of Glacial Illumination by 3. Maximum upgrade level is 15. Lightfall Swords deal 25% increased DMG against opponents with less than 50% HP. Increases the Level of Icetide Vortex by 3. Maximum upgrade level is 15. Lightfall Swords created by Glacial Illumination start with 5 stacks of energy. Normal Attacks, Elemental Skills, and Elemental Bursts have a 50% chance to grant the Lightning Sword an additional stack of energy.",121
2022-12-07,Faruzan,4star,"Faruzan can fire off a maximum of 2 Hurricane Arrows using fully charged Aimed Shots while under a single Wind Realm of Nasamjnin effect. The duration of the Dazzling Polyhedron created by The Wind's Secret Ways is increased by 6s. Increases the Level of Wind Realm of Nasamjnin by 3. Maximum upgrade level is 15. The vortex created by Pressurized Collapses will restore Energy to Faruzan based on the number of opponents hit: If it hits 1 opponent, it will restore 2 Energy for Faruzan. Each additional opponent hit will restore 0.5 more Energy for Faruzan. A maximum of 4 Energy can be restored to her per vortex. Increases the Level of The Wind's Secret Ways by 3. Maximum upgrade level is 15. Characters affected by The Wind's Secret Ways' Prayerful Wind's Benefit have 40% increased CRIT DMG when they deal Anemo DMG. When the active character deals DMG while affected by Prayerful Wind's Benefit, they will apply Pressurized Collapse to the opponent damaged. This effect can be triggered once every 3s. This CD is shared between all party members.",180
2023-09-05,Freminet,4star,"The CRIT Rate of Pressurized Floe: Shattering Pressure will be increased by 15%. Unleashing Pressurized Floe: Shattering Pressure will restore 2 Energy to Freminet. If a Pressure Level 4 Shattering Pressure is unleashed, this will restore 3 Energy. Increases the Level of Normal Attack: Flowing Eddies by 3. Maximum upgrade level is 15. After Freminet triggers Frozen, Shatter, or Superconduct against opponents, his ATK will be increased by 9% for 6s. Max 2 stacks. This can be triggered once every 0.3s. Increase the Level of Pressurized Floe by 3. Maximum upgrade level is 15. After Freminet triggers Frozen, Shatter, or Superconduct against opponents, his CRIT DMG will be increased by 12% for 6s. Max 3 stacks. This can be triggered once every 0.3s.",123
2023-11-08,Furina,5star,"When using Let the People Rejoice, Furina will gain 150 Fanfare. Additionally, Furina's Fanfare limit is increased by 100. While Let the People Rejoice lasts, Furina's Fanfare gain from increases or decreases in nearby characters' HP is increased by 250%. Each point of Fanfare above the limit will increase Furina's Max HP by 0.35%. Her maximum Max HP increase is 140%. Increases the Level of Let the People Rejoice by 3. Maximum upgrade level is 15. When the Salon Members from Salon Solitaire hit an opponent, or the Singer of Many Waters restores HP to the active character, Furina will restore 4 Energy. This effect triggers once every 5s. Increases the Level of Salon Solitaire by 3. Maximum upgrade level is 15. When using Salon Solitaire, Furina gains ""Center of Attention"" for 10s. Throughout the duration, Furina's Normal Attacks, Charged Attacks, and Plunging Attacks are converted into Hydro DMG which cannot be overridden by any other elemental infusion. DMG is also increased by an amount equivalent to 18% of Furina's max HP. Throughout the duration, Furina's Normal Attacks (not including Arkhe: Seats Sacred and Secular Attacks), Charged Attacks, and the impact of Plunging Attacks will cause different effects up to every 0.1s after hitting opponents depending on her current Arkhe alignment: Arkhe: Ousia Every 1s, all nearby characters in the party will be healed by 4% of Furina's max HP, for a duration of 2.9s. Triggering this effect again will extend its duration. Arkhe: Pneuma This Normal Attack (not including Arkhe: Seats Sacred and Secular Attacks), Charged Attack, or Plunging Attack ground impact DMG will be further increased by an amount equivalent to 25% of Furina's max HP. When any of the attacks mentioned previously hit an opponent, all nearby characters in the party will consume 1% of their current HP. During the duration of each instance of ""Center of Attention,"" the above effects can be triggered up to 6 times. ""Center of Attention"" will end when its effects have triggered 6 times or when the duration expires.",338
2024-01-31,Gaming,4star,"When the Suanni Man Chai from Suanni's Gilded Dance meets back up with Gaming, it will heal 15% of Gaming's HP. When Gaming receives healing and this instance of healing overflows, his ATK will be increased by 20% for 5s. Increases the Level of Bestial Ascent by 3. Maximum upgrade level is 15. When Bestial Ascent's Plunging Attack: Charmed Cloudstrider hits an opponent, it will restore 2 Energy to Gaming. This effect can be triggered once every 0.2s. Increases the Level of Suanni's Gilded Dance by 3. Maximum upgrade level is 15. Bestial Ascent's Plunging Attack: Charmed Cloudstrider CRIT Rate increased by 20% and CRIT DMG increased by 40%, and its attack radius will be increased.",116
2021-01-12,Ganyu,5star,"Taking DMG from a Charge Level 2 Frostflake Arrow Bloom decreases opponents' Cryo RES by 15% for 6s. A hit regenerates 2 Energy for Ganyu. This effect can only occur once per Charge Level 2 Frostflake Arrow, regardless if Frostflake Arrow itself or its Bloom hit the target. Trail of the Qilin gains 1 additional charge. Increases the level of Celestial Shower by 3. Maximum upgrade level is 15. Opponents standing within the AoE of Celestial Shower take increased DMG. This effect strengthens over time. Increased DMG taken begins at 5% and increases by 5% every 3s, up to a maximum of 25%. The effect lingers for 3s after the opponent leaves the AoE. Increases the level of Trail of the Qilin by 3. Maximum upgrade level is 15. Using Trail of the Qilin causes the next Frostflake Arrow shot within 30s to not require charging.",146
2021-12-14,Gorou,4star,"When characters (other than Gorou) within the AoE of Gorou's General's War Banner or General's Glory deal Geo DMG to opponents, the CD of Gorou's Inuzaka All-Round Defense is decreased by 2s. This effect can occur once every 10s. While General's Glory is in effect, its duration is extended by 1s when a nearby active character obtains an Elemental Shard from a Crystallize reaction. This effect can occur once every 0.1s. Max extension is 3s. Increases the level of Inuzaka All-Round Defense by 3. Maximum upgrade level is 15. When General's Glory is in the ""Impregnable"" or ""Crunch"" states, it will also heal active characters within its AoE by 50% of Gorou's own DEF every 1.5s. Increases the level of Juuga: Forward Unto Victory by 3. Maximum upgrade level is 15. For 12s after using Inuzaka All-Round Defense or Juuga: Forward Unto Victory, increases the CRIT DMG of all nearby party members' Geo DMG based on the buff level of the skill's field at the time of use: ""Standing Firm"": +10% ""Impregnable"": +20% ""Crunch"": +40% This effect cannot stack and will take reference from the last instance of the effect that is triggered.",193
2022-07-13,Heizou,4star,"For 5s after Shikanoin Heizou takes the field, his Normal Attack SPD is increased by 15%. He also gains 1 Declension stack for Heartstopper Strike. This effect can be triggered once every 10s. The pull effect of the Arresting Windtunnel created by Windmuster Kick is enhanced, and its duration is increased to 1s. Increases the level of Heartstopper Strike by 3. Maximum upgrade level is 15. The first Windmuster Iris explosion in each Windmuster Kick will regenerate 9 Elemental Energy for Shikanoin Heizou. Every subsequent explosion in that Windmuster Kick will each regenerate an additional 1.5 Energy for Heizou. One Windmuster Kick can regenerate a total of 13.5 Energy for Heizou in this manner. Increases the level of Windmuster Kick by 3. Maximum upgrade level is 15. Each Declension stack will increase the CRIT Rate of the Heartstopper Strike unleashed by 4%. When Heizou possesses Conviction, this Heartstopper Strike's CRIT DMG is increased by 32%.",155
2021-03-02,Hu Tao,5star,"While in a Paramita Bouquet state activated by Guide to Afterlife, Hu Tao's Charge Attacks do not consume Stamina. Increases the Blood Blossom DMG by an amount equal to 10% of Hu Tao's Max HP at the time the effect is applied. Additionally, Spirit Soother will also apply the Blood Blossom effect. Increases the level of Guide to Afterlife by 3. Maximum upgrade level is 15. Upon defeating an enemy affected by a Blood Blossom that Hu Tao applied herself, all nearby allies in the party (excluding Hu Tao herself) will have their CRIT rate increased by 12% for 15s. Increases the level of Spirit Soother by 3. Maximum upgrade level is 15. Triggers when Hu Tao's HP drops below 25%, or when she suffers a lethal strike: Hu Tao will not fall as a result of the DMG sustained. Additionally, for the next 10s, all of her Elemental and Physical RES is increased by 200%, her CRIT Rate is increased by 100%, and her resistance to interruption is greatly increased. This effect triggers automatically when Hu Tao has 1 HP left. Can only occur once every 60s.",188
2021-12-14,Itto,5star,"After using Royal Descent: Behold, Itto the Evil!, Arataki Itto gains 2 stacks of Superlative Superstrength. After 1s, Itto will gain 1 stack of Superlative Superstrength every 0.5s for 1.5s. After using Royal Descent: Behold, Itto the Evil!, each party member whose Element is Geo will decrease that skill's CD by 1.5s and restore 6 Energy to Arataki Itto. CD can be decreased by up to 4.5s in this manner. Max 18 Energy can be restored in this manner. Increases the level of Masatsu Zetsugi: Akaushi Burst! by 3. Maximum upgrade level is 15. When the Raging Oni King state caused by Royal Descent: Behold, Itto the Evil! ends, all nearby party members gain 20% DEF and 20% ATK for 10s. Increases the level of Royal Descent: Behold, Itto the Evil! by 3. Maximum upgrade level is 15. Arataki Itto's Charged Attacks deal +70% Crit DMG. Additionally, when he uses Arataki Kesagiri, he has a 50% chance to not consume stacks of Superlative Superstrength.",164
2023-05-02,Kaveh,4star,"Within 3s after using Artistic Ingenuity, Kaveh's Dendro RES and Incoming Healing Bonus will be increased by 50% and 25% respectively. Kaveh's Normal Attack SPD increases by 15% during Painted Dome. Increases the level of Painted Dome by 3. Maximum upgrade level is 15. Dendro Cores created from Bloom reactions Kaveh triggers will deal 60% more DMG when they burst. Increases the level of Artistic Ingenuity by 3. Maximum upgrade level is 15. When Kaveh's Normal, Charged, or Plunging Attacks hit opponents during Painted Dome, they will unleash Pairidaeza's Light upon the opponent's position, dealing 61.8% of Kaveh's ATK as AoE Dendro DMG and causing all Dendro Cores within that AoE to burst. This effect can be triggered once every 3s.",121
2021-06-29,Kazuha,5star,"Decreases Chihayaburu's CD by 10%. Using Kazuha Slash resets the CD of Chihayaburu. The Autumn Whirlwind field created by Kazuha Slash has the following effects: Increases Kaedehara Kazuha's own Elemental Mastery by 200. Increases the Elemental Mastery of characters within the field by 200. The Elemental Mastery-increasing effects of this Constellation do not stack. Increases the Level of Chihayaburu by 3. Maximum upgrade level is 15. When Kaedehara Kazuha's Energy is lower than 45, he obtains the following effects: Pressing or Holding Chihayaburu regenerates 3 or 4 Energy for Kaedehara Kazuha, respectively. When gliding, Kaedehara Kazuha regenerates 2 Energy per second. Increase the Level of Kazuha Slash by 3. Maximum upgrade level is 15. After using Chihayaburu or Kazuha Slash, Kaedehara Kazuha gains an Anemo Infusion for 5s. Additionally, each point of Elemental Mastery will increase the DMG dealt by Kaedehara Kazuha's Normal, Charged, and Plunging Attack by 0.2%.",149
2023-05-24,Kirara,4star,"Every 8,000 Max HP Kirara possesses will cause her to create 1 extra Cat Grass Cardamom when she uses Secret Art: Surprise Dispatch. A maximum of 4 extra can be created this way. When Kirara is in the Urgent Neko Parcel state of Meow-teor Kick, she will grant other party members she crashes into Critical Transport Shields. The DMG absorption of Critical Transport Shield is 40% of the maximum absorption Meow-teor Kick's normal Shields of Safe Transport are capable of, and will absorb Dendro DMG with 250% effectiveness. Critical Transport Shields last 12s and can be triggered once on each character every 10s. Increases the Level of Meow-teor Kick by 3. Maximum upgrade level is 15. After active character(s) protected by Shields of Safe Transport or Critical Transport Shields hit opponents with Normal, Charged, or Plunging Attacks, Kirara will perform a coordinated attack with them using Small Cat Grass Cardamoms, dealing 200% of her ATK as Dendro DMG. DMG dealt this way is considered Elemental Burst DMG. This effect can be triggered once every 3.8s. This CD is shared between all party members. Increase the Level of Secret Art: Surprise Dispatch by 3. Maximum upgrade level is 15. All nearby party members will gain 12% All Elemental DMG Bonus within 15s after Kirara uses her Elemental Skill or Burst.",219
2020-10-20,Klee,5star,"Attacks and Skills have a certain chance to summon a spark that bombards enemies, dealing DMG equal to 120% of Sparks 'n' Splash's DMG. Being hit by Jumpy Dumpty's mines decreases enemy DEF by 23% for 10s. Increases the Level of Jumpy Dumpty by 3. Maximum upgrade level is 15. If Klee leaves the field during the duration of Sparks 'n' Splash, her departure triggers an explosion that deals 555% of her ATK as AoE Pyro DMG. Increase the Level of Sparks 'n' Splash by 3. Maximum upgrade level is 15. While under the effects of Sparks 'n' Splash, other members of the party will continuously regenerate Energy. When Sparks 'n' Splash is used, all party members will gain 10% Pyro DMG Bonus for 25s.",125
2021-09-21,Kokomi,5star,"While donning the Ceremonial Garment created by Nereid's Ascension, the final Normal Attack in Sangonomiya Kokomi's combo will unleash a swimming fish to deal 30% of her Max HP as Hydro DMG. This DMG is not considered Normal Attack DMG. Sangonomiya Kokomi gains the following Healing Bonuses with regard to characters with 50% or less HP via the following methods: Kurage's Oath Bake-Kurage: 4.5% of Kokomi's Max HP. Nereid's Ascension Normal and Charged Attacks: 0.6% of Kokomi's Max HP. Increases the Level of Nereid's Ascension by 3. Maximum upgrade level is 15. While donning the Ceremonial Garment created by Nereid's Ascension, Sangonomiya Kokomi's Normal Attack SPD is increased by 10%, and Normal Attacks that hit opponents will restore 0.8 Energy for her. This effect can occur once every 0.2s. Increase the Level of Kurage's Oath by 3. Maximum upgrade level is 15. While donning the Ceremonial Garment created by Nereid's Ascension, Sangonomiya Kokomi gains a 40% Hydro DMG Bonus for 4s after her Normal and Charged Attacks heal a character with 80% or more HP.",175
2022-11-18,Layla,4star,"The Shield Absorption of the Curtain of Slumber generated by Nights of Formal Focus is increased by 20%. Additionally, when unleashing Nights of Formal Focus, she will generate a shield for any nearby party members who are not being protected by a Curtain of Slumber. This shield will have 35% of the absorption of a Curtain of Slumber, will last for 12s, and will absorb Cryo DMG with 250% effectiveness. When Shooting Stars from Nights of Formal Focus strike opponents, they will each restore 1 Energy to Layla. Each Shooting Star can restore Energy to her in this manner once. Increases the Level of Nights of Formal Focus by 3. Maximum upgrade level is 15. When Nights of Formal Focus starts to fire off Shooting Stars, it will grant all nearby party members the Dawn Star effect, causing their Normal and Charged Attack DMG to increase based on 5% of Layla's Max HP. Dawn Star can last up to 3s and will be removed 0.05s after dealing Normal or Charged Attack DMG. Increase the Level of Dream of the Star-Stream Shaker by 3. Maximum upgrade level is 15. Shooting Stars from Nights of Formal Focus deal 40% increased DMG, and Starlight Slugs from Dream of the Star-Stream Shaker deal 40% increased DMG. Additionally, the interval between the creation of Night Stars via Nights of Formal Focus is decreased by 20%.",230
